1,36.690822481,118.712596893,27,5,1246,794
2,36.7231130556,118.60625267,27,5,1216,786
3,36.7352202425,118.585481644,27,5,1208,783
id,Date,Solar_zenith,Surface_reflectance_500m_state_flags,View_zenith,Surface_reflectance_day_of_year,Surface_reflectance_500m_quality_control_flags,Relative_azimuth,Surface_reflectance_for_band_7,Surface_reflectance_for_band_6,Surface_reflectance_for_band_5,Surface_reflectance_for_band_4,Surface_reflectance_for_band_3,Surface_reflectance_for_band_2,Surface_reflectance_for_band_1,actual_date
2,2009/09/22,3875,136,1117,266,1073741824,12181,903,1825,2762,595,270,2766,554,2009/09/23
2,2009/09/30,4396,200,2390,277,1073741824,-5744,1714,2561,3212,899,471,2946,947,2009/10/04
2,2009/10/08,4588,72,1279,284,1073741824,-5732,1747,2499,2829,875,511,2780,974,2009/10/11
2,2009/10/16,4656,200,2219,289,1073741824,11457,1474,2115,2502,891,486,2308,993,2009/10/16
2,2009/10/24,4992,200,1117,298,1073741824,11617,1777,2307,2490,991,617,2278,1124,2009/10/25
2,2009/11/01,5309,72,78,307,1073741824,-5164,1335,1944,2355,850,531,2009,1035,2009/11/03
2,2009/11/09,5728,202,3347,318,1073741824,-6249,980,1624,2146,997,595,2016,1161,2009/11/14
2,2009/11/17,5747,136,69,323,1073741824,-5064,1657,2262,2224,1015,613,1965,1251,2009/11/19
2,2009/11/25,5835,202,5328,333,1073741824,11028,1831,2244,2363,712,522,1861,1028,2009/11/29
2,2009/12/03,6056,72,78,339,1073741824,-7853,1985,2355,2474,996,687,1970,1226,2009/12/05
2,2009/12/11,6398,138,4884,352,1073741824,-6067,2368,3031,2806,1250,796,2493,1532,2009/12/18
2,2009/12/19,6201,136,98,355,1073741824,-2357,1916,2373,2215,961,581,1920,1178,2009/12/21
2,2009/12/27,6171,136,1108,362,1073741824,11664,1988,2424,2206,1043,649,1897,1309,2009/12/28
2,2010/01/01,6159,202,113,6,1073741824,-2723,2003,2255,2563,1188,735,2103,1463,2010/01/06
2,2010/01/09,6042,136,1089,13,1073741824,11943,1864,2284,2069,949,577,1792,1213,2010/01/13
2,2010/01/17,5933,201,136,22,1073741824,-3107,973,1496,2427,1973,1184,3041,2313,2010/01/22
2,2010/01/25,5735,136,1080,29,1073741824,12229,2035,2402,2114,954,612,1792,1213,2010/01/29
2,2010/02/02,5486,8206,4033,34,1073741824,11948,2076,2314,2382,1716,1686,2116,1788,2010/02/03
2,2010/02/10,5721,201,5462,44,1073741824,-5097,2162,2511,3123,1642,1009,2866,2040,2010/02/13
2,2010/02/18,5366,138,3365,49,1073741824,-5259,2606,2960,2690,1326,868,2293,1627,2010/02/18
2,2010/02/26,4689,206,4737,57,1073741824,12111,1923,2342,2157,851,557,1877,1122,2010/02/26
2,2010/03/06,4421,200,76,70,1073741824,-4542,1794,2125,2276,1018,654,1799,1231,2010/03/11
2,2010/03/14,4091,200,1117,77,1073741824,12808,2025,2527,2419,1134,727,2119,1377,2010/03/18
2,2010/03/22,3761,200,2228,84,1073741824,12608,2027,2313,2398,948,577,1999,1167,2010/03/25
2,2010/03/30,3465,200,1109,93,1075576835,12677,2106,2451,-28672,1115,689,2276,1314,2010/04/03
2,2010/04/07,3588,200,3374,97,1073741824,-4379,2325,2851,2903,1181,737,2751,1374,2010/04/07
2,2010/04/15,2887,200,1090,109,1073741824,13088,1777,2271,2491,1035,613,2457,1150,2010/04/19
2,2010/04/23,2771,200,2428,120,1073741824,-3782,1796,2488,3231,1025,609,3189,1101,2010/04/30
2,2010/05/01,2508,200,1306,127,1073741824,-3655,1667,2372,2890,969,514,3183,1021,2010/05/07
2,2010/05/09,2165,202,2209,132,1073741824,13624,1503,2094,2539,914,527,2869,988,2010/05/12
2,2010/05/17,2205,200,1287,143,1073741824,-3408,1820,2406,2810,1006,558,2930,1077,2010/05/23
2,2010/05/25,2369,200,3365,145,1073741824,-2790,1743,2421,3074,1007,619,3186,1086,2010/05/25
2,2010/06/02,1890,204,1117,157,1073741824,14743,1713,2269,2524,965,492,2602,1005,2010/06/06
2,2010/06/10,1959,200,76,166,1073741824,-2843,1526,2060,2385,748,403,2059,816,2010/06/15
2,2010/06/18,2080,200,1268,175,1073741824,-2532,2031,2733,2973,1149,570,2485,1209,2010/06/24
2,2010/06/26,1825,200,2228,180,1073741824,14742,1940,2690,2808,756,452,2424,892,2010/06/29
2,2010/07/04,1800,204,3208,187,1073741824,14549,1855,2488,2495,619,353,2334,721,2010/07/06
2,2010/07/12,2440,1801,3365,193,1073741824,-2250,796,1614,2545,2255,2224,2828,2095,2010/07/12
2,2010/07/20,2437,200,1295,207,1073741824,-3085,1440,2504,3218,764,330,3494,692,2010/07/26
2,2010/07/28,2269,202,2210,212,1073741824,14065,1108,1969,2745,769,397,3173,695,2010/07/31
2,2010/08/05,2923,8206,4213,218,1073741824,-3029,1182,2371,3792,943,369,4208,771,2010/08/06
2,2010/08/13,2832,200,124,230,1073741824,-1573,798,1744,2709,548,210,3113,429,2010/08/18
2,2010/08/21,2606,8204,4727,233,1073741824,12636,802,1648,2519,321,89,3010,285,2010/08/21
2,2010/08/29,3347,200,3374,241,1073741824,-4104,685,1869,3060,529,217,3665,356,2010/08/29
2,2010/09/06,3610,200,1270,255,1073741824,-4788,896,1975,3283,878,422,3544,706,2010/09/12
2,2010/09/14,3618,200,2237,260,1073741824,12152,693,1822,3145,447,159,3422,323,2010/09/17
2,2010/09/22,3973,204,1127,269,1073741824,11925,1089,2001,3025,983,527,3234,880,2010/09/26
2,2010/09/30,4331,72,86,278,1075576835,-2057,1632,2398,-28672,808,450,2853,871,2010/10/05
2,2010/10/08,4664,200,4184,282,1073741824,-5600,1824,2683,3109,922,482,3044,999,2010/10/09
2,2010/10/16,5029,136,2381,296,1073741824,-6096,1702,2287,2704,880,495,2447,981,2010/10/23
2,2010/10/24,5085,200,1117,301,1073741824,11318,1915,2399,2710,1006,585,2407,1193,2010/10/28
2,2010/11/01,5279,200,2228,308,1073741824,11329,1841,2359,2630,987,608,2215,1214,2010/11/04
2,2010/11/09,5676,136,1260,319,1073741824,-6371,2195,2639,2920,1202,769,2394,1439,2010/11/15
2,2010/11/17,5813,72,69,326,1073741824,-8071,2085,2593,2798,1141,733,2312,1408,2010/11/22
2,2010/11/25,5927,136,1126,333,1073741824,11284,1897,2506,2536,1073,672,2225,1306,2010/11/29
2,2010/12/03,6012,136,2237,340,1073741824,11285,1706,2291,2315,933,573,2079,1163,2010/12/06
2,2010/12/11,6418,137,5461,348,1073741824,-6064,972,1823,4791,4978,4295,5924,5144,2010/12/14
2,2010/12/19,6210,136,108,358,1073741824,-3294,1795,2329,2360,1042,598,2131,1267,2010/12/24
2,2010/12/27,6165,72,1091,365,1073741824,11427,1895,2426,2400,965,569,2155,1214,2010/12/31
2,2011/01/01,6401,138,4905,6,1073741824,-5817,2612,3020,3373,1425,867,2674,1682,2011/01/06
2,2011/01/09,6137,72,134,9,1073741824,-4508,2009,2545,2494,1058,686,2205,1298,2011/01/09
2,2011/01/17,5838,136,2173,23,1073741824,11959,1922,2338,2257,948,638,1868,1182,2011/01/23
2,2011/01/25,5880,202,146,25,1073741824,-4019,1968,2441,2265,1237,745,1998,1450,2011/01/25
2,2011/02/02,5712,200,1315,34,1073741824,-5362,2261,2582,2681,1198,769,2147,1435,2011/02/03
2,2011/02/10,5463,201,117,41,1073741824,-3796,2018,2630,2764,1731,1069,2562,1937,2011/02/10
2,2011/02/18,5278,201,3375,52,1073741824,-5123,2518,2877,3065,1339,743,2413,1586,2011/02/21
