site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,29.46741944,116.6451222,28,6,373,127
2,29.01164167,116.6422833,28,6,481,237
3,29.12755833,116.5612694,28,6,436,209
4,28.61323056,116.4501361,28,6,534,332
5,28.68159722,116.4612167,28,6,521,316
6,28.61115278,116.4471611,28,6,534,333
7,28.82416111,116.4363528,28,6,482,282
8,28.88801389,116.514125,28,6,483,266
9,29.05591667,116.550125,28,6,451,226
10,29.13203611,116.585375,28,6,440,208
id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2002/05/01,2605,1033,5127,125,1073741824,-1927,2594,3607,3645,3207,3138,3812,3115,2002/05/05
1,2002/05/09,1740,1034,1289,135,1073741824,15588,2047,2832,3094,2024,1687,3084,2057,2002/05/15
1,2002/05/17,1744,72,62,144,1075576832,10582,895,1521,2468,795,406,2225,805,2002/05/24
1,2002/05/25,1578,200,1326,151,1073741824,16469,860,1573,2169,620,299,2261,603,2002/05/31
1,2002/06/02,2067,136,3514,155,1073741824,-720,1226,2122,2763,810,377,2817,789,2002/06/04
1,2002/06/10,1941,1034,2499,162,1073741824,-682,1170,2220,2956,880,422,3237,777,2002/06/11
1,2002/06/18,2374,1033,5127,173,1073741824,-325,913,2056,3081,1152,885,3291,1023,2002/06/22
1,2002/06/26,1651,1033,1308,183,1073741824,17142,1991,2997,3701,2398,2177,3947,2291,2002/07/02
1,2002/07/04,1919,72,1286,185,1073741824,-510,1501,2497,3333,952,479,3482,972,2002/07/04
1,2002/07/12,2120,200,2481,194,1073741824,-740,2233,3115,3631,966,475,3384,1247,2002/07/13
1,2002/07/20,1505,142,4381,204,1073741824,15654,538,1160,1750,612,307,2115,557,2002/07/23
1,2002/07/28,1999,72,1299,215,1073741824,15568,1110,1899,2645,769,406,2849,792,2002/08/03
1,2002/08/05,2259,72,1314,217,1073741824,-1747,1196,2241,3057,905,464,3387,817,2002/08/05
1,2002/08/13,2287,1289,1317,231,1073741824,14771,778,1654,3291,2594,2582,3650,2418,2002/08/19
1,2002/08/21,2780,136,3524,235,1073741824,-2735,1260,2557,3797,836,323,4270,706,2002/08/23
1,2002/08/29,2675,200,1273,247,1073741824,13451,855,1788,2773,600,253,3101,504,2002/09/04
1,2002/09/06,2801,136,2496,254,1073741824,13041,816,1732,2768,612,284,3114,489,2002/09/11
1,2002/09/14,3145,200,1308,263,1073741824,12930,1038,1971,2856,666,282,3063,610,2002/09/20
1,2002/09/22,3011,136,5646,266,1073741824,11710,1136,1950,2834,657,269,2967,705,2002/09/23
1,2002/09/30,3514,136,3481,277,1075576832,11887,1292,2155,4640,786,400,2736,900,2002/10/04
1,2002/10/08,3852,136,1377,281,1073741824,-5355,1913,2619,3149,961,530,2808,1323,2002/10/08
1,2002/10/16,4213,1033,1271,295,1073741824,11885,2754,4241,5729,5935,5962,6247,5910,2002/10/22
1,2002/10/24,4172,136,5625,298,1073741824,11008,950,1811,2303,676,377,2132,754,2002/10/25
1,2002/11/01,4713,72,1254,311,1073741824,11412,1443,2197,2528,774,458,2102,928,2002/11/07
1,2002/11/09,4768,202,4313,316,1073741824,11188,1584,2170,2296,563,269,1884,736,2002/11/12
1,2002/11/17,5133,200,2564,322,1073741824,-6120,1088,1900,2315,788,460,2090,899,2002/11/18
1,2002/11/25,5244,200,1314,329,1073741824,-6061,1217,1899,2344,776,457,2028,937,2002/11/25
1,2002/12/03,5399,136,1345,343,1075576832,11411,870,1488,2187,623,347,1805,699,2002/12/09
1,2002/12/11,5623,136,3505,347,1073741824,-5911,1370,2137,2424,870,548,2148,1118,2002/12/13
1,2002/12/19,5430,1033,3528,357,1073741824,11562,4398,6609,7218,7412,7368,7668,7404,2002/12/23
1,2002/12/27,5536,200,66,3,1073741824,-6164,948,1613,1917,846,511,1776,1013,2002/01/03id,Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_qc_500m,sur_refl_szen,sur_refl_vzen,sur_refl_raz,sur_refl_state_500m,sur_refl_day_of_year,actual_date
1,2003/01/01,5536,200,66,3,1073741824,-6164,948,1613,1917,846,511,1776,1013,2003/01/03
1,2003/01/09,5515,200,1377,12,1073741824,-5609,1272,1934,2147,831,518,1898,1038,2003/01/12
1,2003/01/17,5539,72,4417,23,1073741824,-5268,1780,2558,2943,969,564,2484,1204,2003/01/23
1,2003/01/25,5246,136,1322,28,1073741824,-5390,1041,1803,2172,796,492,2018,949,2003/01/28
1,2003/02/02,4958,136,2476,33,1073741824,12391,981,1558,1957,612,367,1745,786,2003/02/02
1,2003/02/10,5010,1033,5127,48,1073741824,-4608,4531,5932,6223,6054,5867,6508,6139,2003/02/17
1,2003/02/18,4542,136,45,51,1073741824,-229,1355,1925,2263,835,479,2174,986,2003/02/20
1,2003/02/26,3855,1033,5603,61,1073741824,12239,3560,4511,4751,4384,4306,4813,4342,2003/03/02
