         88486 function calls (86039 primitive calls) in 0.412 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 forms.py:59(__new__)
        1    0.000    0.000    0.000    0.000 subclassing.py:7(<module>)
        1    0.000    0.000    0.000    0.000 misc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 random.py:71(Random)
      260    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
       15    0.000    0.000    0.000    0.000 options.py:212(_fields)
      154    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
      330    0.000    0.000    0.000    0.000 sre_parse.py:140(__setitem__)
        1    0.000    0.000    0.000    0.000 os.py:747(urandom)
        1    0.000    0.000    0.000    0.000 decimal.py:503(Decimal)
        1    0.000    0.000    0.000    0.000 base.py:43(BaseCommand)
        1    0.000    0.000    0.000    0.000 datastructures.py:4(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7124(getdoc)
        1    0.000    0.000    0.000    0.000 error.py:5(<module>)
        1    0.000    0.000    0.000    0.000 models.py:83(Process)
      137    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      117    0.000    0.000    0.000    0.000 __init__.py:244(get_attname_column)
        4    0.000    0.000    0.000    0.000 __init__.py:457(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 threadsafe.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:456(_set_array_types)
       23    0.000    0.000    0.000    0.000 widgets.py:103(media_property)
        1    0.000    0.000    0.000    0.000 extensions.py:12(<module>)
       24    0.000    0.000    0.000    0.000 util.py:49(__init__)
        6    0.000    0.000    0.000    0.000 options.py:251(_many_to_many)
        1    0.000    0.000    0.000    0.000 transaction.py:13(<module>)
        1    0.000    0.000    0.000    0.000 {posix.open}
        1    0.000    0.000    0.000    0.000 proxy.py:4(<module>)
        4    0.000    0.000    0.000    0.000 optparse.py:560(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 measure.py:247(Area)
        1    0.000    0.000    0.000    0.000 tempfile.py:483(SpooledTemporaryFile)
       13    0.000    0.000    0.000    0.000 topology.py:16(topology)
        1    0.000    0.000    0.000    0.000 related.py:1086(contribute_to_class)
       10    0.000    0.000    0.000    0.000 generation.py:14(double_output)
       25    0.000    0.000    0.000    0.000 posixpath.py:117(dirname)
       16    0.000    0.000    0.000    0.000 re.py:206(escape)
        3    0.000    0.000    0.000    0.000 __init__.py:1420(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:838(FloatField)
      181    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       14    0.000    0.000    0.000    0.000 __init__.py:136(_check_size)
      432    0.000    0.000    0.000    0.000 sre_parse.py:216(isident)
    53/44    0.000    0.000    0.000    0.000 {issubclass}
       18    0.000    0.000    0.000    0.000 core.py:900(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:927(getLogger)
        1    0.000    0.000    0.000    0.000 tz.py:6(<module>)
       32    0.000    0.000    0.000    0.000 generation.py:98(void_output)
        1    0.000    0.000    0.000    0.000 saferef.py:6(<module>)
        1    0.000    0.000    0.000    0.000 unittest.py:176(TestCase)
        5    0.000    0.000    0.000    0.000 abc.py:102(register)
        1    0.000    0.000    0.000    0.000 dictconfig.py:457(configure_handler)
        2    0.000    0.000    0.000    0.000 query.py:14(__init__)
        3    0.000    0.000    0.000    0.000 forms.py:26(get_declared_fields)
        1    0.000    0.000    0.000    0.000 numerictypes.py:284(_add_types)
        1    0.000    0.000    0.000    0.000 manager.py:12(get_query_set)
        4    0.000    0.000    0.000    0.000 __init__.py:481(contribute_to_class)
       10    0.000    0.000    0.000    0.000 predicates.py:11(binary_predicate)
      154    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        3    0.000    0.000    0.000    0.000 srs.py:8(srs_double)
        1    0.000    0.000    0.000    0.000 envelope.py:12(<module>)
        1    0.000    0.000    0.000    0.000 conversion.py:4(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1695(chararray)
        3    0.000    0.000    0.000    0.000 decimal.py:3688(__init__)
      707    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
      154    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
