Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
09/30/2014,2748,4271,1087,1929,5578,5628,4883,1073741824,2252,2238,14334,136,273,09/30/2014,0.2748,0.4271,0.1087,0.1929,0.5578,0.5628,0.4883,0.21698247613620175,0.16842501050582798,-0.13708455399535308,-0.06685601922656761,-0.48947995236204844,-0.13270382779977663,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.21698247613620175,0.16842501050582798,-0.13708455399535308,-0.06685601922656761,-0.48947995236204844,-0.13270382779977663
10/08/2014,2990,4448,1269,2179,5440,6149,5240,1073741824,2814,1994,-3731,200,284,10/11/2014,0.299,0.4448,0.1269,0.2179,0.544,0.6149,0.524,0.196020435600968,0.1593756148750574,-0.16051712748891195,-0.08175061932287365,-0.4767050912584054,-0.10032362459546926,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.196020435600968,0.1593756148750574,-0.16051712748891195,-0.08175061932287365,-0.4767050912584054,-0.10032362459546926
10/16/2014,2978,4359,1244,2143,5743,5960,5601,1073741824,2892,588,-4344,136,291,10/18/2014,0.2978,0.4359,0.1244,0.2143,0.5743,0.596,0.5601,0.18822406978329018,0.150783945495043,-0.1551506928965985,-0.1246987951807229,-0.4710601011970875,-0.13700257374777272,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.18822406978329018,0.150783945495043,-0.1551506928965985,-0.1246987951807229,-0.4710601011970875,-0.13700257374777272
10/24/2014,3016,4324,1174,2120,5678,5913,5444,1073741824,2999,876,12682,136,298,10/25/2014,0.3016,0.4324,0.1174,0.212,0.5678,0.5913,0.5444,0.1782016348773842,0.13847131060766463,-0.15522125622741037,-0.11466011466011466,-0.47217726876633886,-0.13537292541491702,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.1782016348773842,0.13847131060766463,-0.15522125622741037,-0.11466011466011466,-0.47217726876633886,-0.13537292541491702
11/01/2014,3316,4668,1412,2402,5679,6545,5663,1073741824,3765,5094,-4481,136,311,11/07/2014,0.3316,0.4668,0.1412,0.2402,0.5679,0.6545,0.5663,0.16933867735470942,0.14098606824059398,-0.1673949879604031,-0.09631207046752492,-0.46306024365709175,-0.09770948100898812,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.16933867735470942,0.14098606824059398,-0.1673949879604031,-0.09631207046752492,-0.46306024365709175,-0.09770948100898812
11/09/2014,3250,4492,1309,2284,5500,6382,5639,1073741824,3439,784,12580,136,314,11/10/2014,0.325,0.4492,0.1309,0.2284,0.55,0.6382,0.5639,0.16042366313614054,0.1284411259798548,-0.17380908589295568,-0.11321685914519791,-0.4728825294253404,-0.10088070456365092,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.16042366313614054,0.1284411259798548,-0.17380908589295568,-0.11321685914519791,-0.4728825294253404,-0.10088070456365092
11/17/2014,3341,4644,1441,2457,5653,6657,5842,1073741824,3919,3297,-5094,136,325,11/21/2014,0.3341,0.4644,0.1441,0.2457,0.5653,0.6657,0.5842,0.16318096430807766,0.13639694336857533,-0.1781258295726042,-0.11424756818615296,-0.4608294930875576,-0.09798970573953579,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.16318096430807766,0.13639694336857533,-0.1781258295726042,-0.11424756818615296,-0.4608294930875576,-0.09798970573953579
11/25/2014,3473,4714,1417,2498,5777,6679,5909,1073741824,3986,2058,-5262,136,332,11/28/2014,0.3473,0.4714,0.1417,0.2498,0.5777,0.6679,0.5909,0.15158177598631978,0.12447591727015588,-0.17247432634073553,-0.11249176315541749,-0.45559551051541897,-0.10132494519111619,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.15158177598631978,0.12447591727015588,-0.17247432634073553,-0.11249176315541749,-0.45559551051541897,-0.10132494519111619
12/03/2014,3179,4417,1216,2222,6065,6184,6056,1073741824,4038,660,-5524,136,339,12/05/2014,0.3179,0.4417,0.1216,0.2222,0.6065,0.6184,0.6056,0.16298051606108477,0.12699519921217842,-0.16668238845391944,-0.15649766065119833,-0.47133000237925293,-0.15722190421675253,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.16298051606108477,0.12699519921217842,-0.16668238845391944,-0.15649766065119833,-0.47133000237925293,-0.15722190421675253
12/11/2014,3429,4693,1356,2454,6228,6457,6246,1073741824,4405,4288,-4944,136,350,12/16/2014,0.3429,0.4693,0.1356,0.2454,0.6228,0.6457,0.6246,0.15562669293277517,0.12591146352153643,-0.15820627802690582,-0.14196910138038213,-0.44922006508809337,-0.14055489424045417,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.15562669293277517,0.12591146352153643,-0.15820627802690582,-0.14196910138038213,-0.44922006508809337,-0.14055489424045417
12/19/2014,3282,4484,1333,2294,5528,6377,5655,1073741824,4067,2211,12311,136,353,12/19/2014,0.3282,0.4484,0.1333,0.2294,0.5528,0.6377,0.5655,0.15477723409734742,0.12428397129681329,-0.17429334315440567,-0.11549462471644147,-0.4708799446430631,-0.10427487015581302,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.15477723409734742,0.12428397129681329,-0.17429334315440567,-0.11549462471644147,-0.4708799446430631,-0.10427487015581302
12/27/2014,2704,3892,1109,1881,5435,5806,5696,1073741824,4170,820,12621,136,362,12/28/2014,0.2704,0.3892,0.1109,0.1881,0.5435,0.5806,0.5696,0.1801091570648878,0.13624790696607564,-0.19736028047020004,-0.18815185648727575,-0.5106023155977625,-0.1654336871448483,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.1801091570648878,0.13624790696607564,-0.19736028047020004,-0.18815185648727575,-0.5106023155977625,-0.1654336871448483
