site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,49.694069,114.708312,25,4,502,36
2,39.872149,124.290871,27,5,645,14
3,29.187812,115.934329,28,6,144,96
4,28.865268,116.268557,28,6,217,135
id,Date,Night_view_time,Clear_sky_days,Clear_sky_nights,LST_Night_1km,QC_Day,Night_view_angl,QC_Night,Emis_32,Day_view_time,Emis_31,LST_Day_1km,Day_view_angl,real_date
2,2007/03/22,220,56,120,13796,65,61,65,247,108,247,14138,52,N\A
2,2007/03/30,221,32,60,13777,0,69,65,247,113,247,14192,96,N\A
2,2007/04/07,217,8,200,13927,0,43,65,247,107,248,14360,33,N\A
2,2007/04/15,218,133,192,13966,0,44,65,247,110,247,14257,61,N\A
2,2007/04/23,221,118,124,14073,0,72,0,247,111,247,14500,76,N\A
2,2007/05/01,220,236,47,14146,0,63,0,247,110,247,14461,67,N\A
2,2007/05/09,217,33,57,14093,0,40,0,246,111,246,14436,71,N\A
2,2007/05/17,218,4,4,14256,0,42,65,247,108,247,14486,42,N\A
2,2007/05/25,218,51,183,14270,0,50,65,246,111,247,14534,75,N\A
2,2007/06/02,218,161,209,14360,0,44,65,248,111,247,14781,79,N\A
2,2007/06/10,218,186,231,14369,0,47,0,247,107,247,14771,43,N\A
2,2007/06/18,218,193,227,14478,65,50,65,246,108,247,14704,51,N\A
2,2007/06/26,217,128,73,14559,65,41,65,246,102,247,14563,7,N\A
2,2007/07/04,216,0,7,14560,2,36,65,246,255,247,0,255,N\A
2,2007/07/12,219,130,149,14547,0,59,65,246,114,247,14757,91,N\A
2,2007/07/20,219,24,142,14659,0,58,65,247,111,247,14749,68,N\A
2,2007/07/28,215,2,163,14643,0,21,65,246,109,247,14954,54,N\A
2,2007/08/05,221,1,153,14644,0,70,65,248,110,248,14951,65,N\A
2,2007/08/13,215,66,32,14667,0,18,65,248,111,248,14850,71,N\A
2,2007/08/21,220,7,71,14627,0,61,0,246,106,247,14948,36,N\A
2,2007/08/29,218,121,207,14646,0,51,65,247,108,247,14736,49,N\A
2,2007/09/06,217,61,78,14549,0,42,65,247,110,248,14839,68,N\A
2,2007/09/14,220,142,134,14581,0,60,65,246,109,247,14779,53,N\A
2,2007/09/22,221,13,141,14510,0,74,65,247,111,248,14807,73,N\A
2,2007/09/30,255,16,0,0,0,255,2,247,114,246,14711,105,N\A
2,2007/10/08,219,232,145,14193,0,55,65,247,111,247,14397,74,N\A
2,2007/10/16,220,235,114,14128,0,66,65,247,109,247,14389,54,N\A
2,2007/10/24,221,9,128,13858,0,76,65,248,113,248,14401,88,N\A
2,2007/11/01,222,63,18,14016,0,79,65,247,108,248,14236,54,N\A
2,2007/11/09,218,12,4,14028,0,42,65,248,111,248,14212,77,N\A
2,2007/11/17,222,0,64,13652,2,86,65,248,255,247,0,255,N\A
2,2007/11/25,218,254,4,13730,0,42,65,248,110,249,13881,69,N\A
2,2007/12/03,216,119,130,13420,65,31,65,246,109,247,13762,63,N\A
2,2007/12/11,222,254,160,13651,65,86,65,247,110,247,13740,69,N\A
2,2007/12/19,219,182,2,13739,65,53,65,246,109,246,13772,60,N\A
2,2007/12/27,216,16,16,13335,65,25,65,248,106,248,13609,24,N\A
2,2008/01/01,223,223,156,13498,65,90,65,247,111,247,13693,71,N\A
2,2008/01/09,216,203,128,13101,65,25,65,248,109,248,13531,61,N\A
2,2008/01/17,220,212,81,13201,65,61,65,248,110,248,13500,67,N\A
2,2008/01/25,220,226,8,13101,65,64,65,247,110,247,13633,66,N\A
2,2008/02/02,214,182,2,13421,65,12,65,247,111,248,13647,72,N\A
2,2008/02/10,219,239,138,13341,65,59,65,247,111,247,13666,68,N\A
2,2008/02/18,220,37,69,13430,65,68,65,248,113,247,13743,96,N\A
2,2008/02/26,218,206,47,13588,65,44,65,247,109,247,13893,58,N\A
2,2008/03/05,219,15,16,13644,65,53,65,246,111,247,13926,77,N\A
2,2008/03/13,217,218,221,13669,0,37,65,246,112,247,14088,81,N\A
2,2008/03/21,221,12,4,13824,0,75,65,246,114,247,14156,100,N\A
2,2008/03/29,221,228,87,13749,0,69,65,246,107,247,14202,46,N\A
2,2008/04/06,221,150,179,13897,0,76,65,247,109,247,14325,61,N\A
2,2008/04/14,215,63,61,14070,0,26,65,246,109,247,14516,56,N\A
2,2008/04/22,222,32,101,13957,0,81,65,247,116,248,14360,116,N\A
2,2008/04/30,218,32,112,14064,0,51,65,247,108,248,14566,42,N\A
2,2008/05/08,218,32,67,14097,65,47,65,247,116,248,14282,116,N\A
2,2008/05/16,220,16,60,14071,65,59,0,245,117,246,14312,121,N\A
2,2008/05/24,217,192,82,14146,0,33,0,247,111,248,14438,69,N\A
2,2008/06/01,221,0,152,14270,2,70,65,247,255,247,0,255,N\A
2,2008/06/09,219,143,46,14460,0,52,65,246,109,247,14714,58,N\A
2,2008/06/17,217,0,154,14434,2,44,65,246,255,247,0,255,N\A
2,2008/06/25,218,25,9,14481,0,50,65,246,108,247,14706,50,N\A
2,2008/07/03,218,40,139,14588,0,49,65,248,109,247,14745,54,N\A
2,2008/07/11,227,4,32,14606,0,117,65,247,111,246,15040,76,N\A
2,2008/07/19,218,0,228,14635,2,46,65,247,255,247,0,255,N\A
2,2008/07/27,222,129,193,14635,0,78,0,248,114,248,14888,100,N\A
2,2008/08/04,218,124,251,14683,65,49,0,247,110,247,14886,69,N\A
2,2008/08/12,219,178,155,14634,65,54,65,247,111,247,14784,72,N\A
2,2008/08/20,218,105,249,14572,0,43,65,247,109,247,14808,59,N\A
2,2008/08/28,222,178,179,14654,0,77,65,247,111,247,14801,72,N\A
2,2008/09/05,221,207,219,14576,0,71,65,247,108,247,14779,52,N\A
2,2008/09/13,219,132,159,14612,0,58,65,247,113,248,14788,90,N\A
2,2008/09/21,216,245,128,14370,0,25,65,245,109,246,14574,54,N\A
2,2008/09/29,220,143,157,14372,0,67,65,247,108,247,14572,58,N\A
2,2008/10/07,220,121,232,14288,0,61,65,247,111,247,14510,71,N\A
2,2008/10/15,217,49,18,14435,65,33,65,247,113,247,14574,89,N\A
2,2008/10/23,222,208,96,13927,0,77,65,246,113,246,14276,85,N\A
2,2008/10/31,221,159,197,14048,0,77,65,247,109,247,14237,57,N\A
2,2008/11/08,255,94,0,0,65,255,2,247,111,248,14081,78,N\A
2,2008/11/16,218,129,80,13707,0,43,65,247,114,247,14008,100,N\A
2,2008/11/24,221,55,202,13744,65,72,65,247,109,247,13877,55,N\A
2,2008/12/02,223,69,97,13654,0,82,65,248,110,248,13866,68,N\A
2,2008/12/10,219,58,162,13634,0,51,65,247,112,247,13706,79,N\A
2,2008/12/18,217,29,8,13432,65,33,65,248,111,249,13679,77,N\A
2,2008/12/26,220,61,42,13460,65,65,65,247,109,248,13603,51,N\A
2,2009/01/01,219,91,88,13388,65,47,65,247,109,247,13648,55,N\A
2,2009/01/09,220,249,131,13350,65,60,65,248,110,247,13505,59,N\A
2,2009/01/17,229,21,32,13223,65,127,65,249,113,250,13605,94,N\A
2,2009/01/25,216,103,101,13483,65,29,65,247,111,247,13647,68,N\A
2,2009/02/02,224,118,17,13497,65,94,65,247,111,247,13791,75,N\A
2,2009/02/10,221,98,32,13327,65,64,65,247,114,247,13734,97,N\A
2,2009/02/18,222,180,16,13435,65,76,65,246,110,248,13630,73,N\A
2,2009/02/26,219,60,107,13336,65,58,65,247,108,247,13674,44,N\A
2,2009/03/06,219,186,52,13673,65,59,65,246,108,247,13846,47,N\A
