1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
11,No Data
id,Date,Daily daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Time of daytime Land-surface Temperature observation,View zenith angle of daytime Land-surface Temperature,Daily nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Time of nighttime Land-surface Temperature observation,View zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,day clear-sky coverage,night clear-sky coverage,actual_date
1,2000/07/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/14,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/15,0,2,255,255,14978,17,230,118,240,243,0,4000,N\A
1,2000/07/16,0,2,255,255,14970,81,221,26,240,243,0,2000,N\A
1,2000/07/17,0,2,255,255,14948,145,228,104,240,243,0,2000,N\A
1,2000/07/18,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/19,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/21,0,2,255,255,15178,17,224,59,240,243,0,2000,N\A
1,2000/07/22,0,2,255,255,14913,81,231,124,240,243,0,4000,N\A
1,2000/07/23,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/24,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/26,0,2,255,255,14939,17,227,95,240,243,0,2000,N\A
1,2000/07/27,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/29,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/07/30,0,2,255,255,15071,81,223,45,240,243,0,1988,N\A
1,2000/07/31,0,2,255,255,15001,17,230,118,240,243,0,3140,N\A
1,2000/08/01,15607,81,110,61,15017,17,220,25,240,243,1550,3922,N\A
1,2000/08/02,0,2,255,255,14986,17,228,103,240,243,0,2000,N\A
1,2000/08/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/05,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/19,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/20,0,2,255,255,14941,17,226,84,240,243,0,2000,N\A
1,2000/08/21,15297,81,106,20,14692,81,217,2,240,243,137,3994,N\A
1,2000/08/22,15344,81,114,98,15023,81,224,59,240,243,2000,1970,N\A
1,2000/08/23,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/24,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/26,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/27,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/29,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/30,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/08/31,0,2,255,255,14933,145,223,47,240,243,0,2320,N\A
1,2000/09/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/02,0,2,255,255,15010,81,221,27,240,243,0,2000,N\A
1,2000/09/03,0,2,255,255,15040,81,228,105,240,243,0,2000,N\A
1,2000/09/04,0,2,255,255,14770,81,219,12,240,243,0,2000,N\A
1,2000/09/05,0,2,255,255,14794,81,226,85,240,243,0,1985,N\A
1,2000/09/06,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/07,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/08,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/09,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/10,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/11,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/12,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/13,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/09/14,0,2,255,255,0,2,255,255,0,0,0,0,N\A
