site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
6,2010/05/25,390,4418,4096,N\A
6,2010/06/02,327,4142,4096,N\A
6,2010/06/10,565,4040,4096,N\A
6,2010/06/18,711,4017,4096,N\A
6,2010/06/26,705,3296,4096,N\A
6,2010/07/04,321,3799,4096,N\A
6,2010/07/12,418,3886,4096,N\A
6,2010/07/20,294,3164,4096,N\A
6,2010/07/28,446,4314,4096,N\A
6,2010/08/05,477,4564,4096,N\A
6,2010/08/13,249,3317,4096,N\A
6,2010/08/21,148,4078,4096,N\A
6,2010/08/29,791,3914,4096,N\A
6,2010/09/06,284,3489,4096,N\A
6,2010/09/14,156,2837,4096,N\A
6,2010/09/22,225,3406,4096,N\A
6,2010/09/30,5030,5592,4096,N\A
6,2010/10/08,654,3956,4096,N\A
6,2010/10/16,412,3234,4096,N\A
6,2010/10/24,315,3288,4096,N\A
6,2010/11/01,379,3144,4096,N\A
6,2010/11/09,471,3600,4096,N\A
6,2010/11/17,457,3191,4096,N\A
6,2010/11/25,386,2809,4096,N\A
6,2010/12/03,427,3140,4096,N\A
6,2010/12/11,335,3269,4096,N\A
6,2010/12/19,473,3464,4096,N\A
6,2010/12/27,295,2949,4096,N\A
7,2010/01/01,1675,3190,4096,N\A
7,2010/01/09,301,1756,4096,N\A
7,2010/01/17,527,2886,4096,N\A
7,2010/01/25,3039,3954,4096,N\A
7,2010/02/02,648,2605,4096,N\A
7,2010/02/10,503,1914,4096,N\A
7,2010/02/18,686,2604,4096,N\A
7,2010/02/26,612,1910,4096,N\A
7,2010/03/06,885,2462,4096,N\A
7,2010/03/14,323,1925,4096,N\A
7,2010/03/22,462,2547,4096,N\A
7,2010/03/30,477,2935,4096,N\A
7,2010/04/07,449,3321,4096,N\A
7,2010/04/15,1073,2844,4096,N\A
7,2010/04/23,1120,3580,4096,N\A
7,2010/05/01,486,3772,4096,N\A
7,2010/05/09,438,3447,4096,N\A
